address,zipcode,beds,dog,cat,dishwasher,ac,laundry,parking,gym,price
1500 San Pablo Ave| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2100
2631 Durant Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1390
2024 Durant Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000
512 El Cerrito Plz| El Cerrito| CA 94530,94530,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2330
2038 Parker St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2201
1300 Delaware St| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3200
2121 Dwight Way| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2138
2010 5th St| Berkeley| CA 94710,94710,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2540
2055 Center St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2573
1801 Shattuck Ave| Berkeley| CA 94709,94709,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2303
1950 Addison St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2305
5110 Telegraph Ave| Oakland| CA 94609,94609,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2186
5239 Claremont Ave| Oakland| CA 94619,94619,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2390
6301 Shellmound St| Emeryville| CA 94608,94608,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2370
2315 College Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,979
3015 San Pablo Ave| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2768
2398 Bancroft Way| Berkeley| CA 94704,94704,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1200
1122 University Ave| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2545
1260-1290 Hopkins St| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2195
1333 Powell St| Emeryville| CA 94608,94608,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2144
6401 Shellmound St| Emeryville| CA 94608,94608,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1792
2119 University Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2340
2539 Telegraph Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2600
2461 Warring St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2500
1500 San Pablo Ave| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2100
2631 Durant Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1390
2024 Durant Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2000
512 El Cerrito Plz| El Cerrito| CA 94530,94530,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2330
2038 Parker St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2201
1300 Delaware St| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3200
2121 Dwight Way| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2138
2010 5th St| Berkeley| CA 94710,94710,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2540
2055 Center St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2573
1801 Shattuck Ave| Berkeley| CA 94709,94709,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2303
1950 Addison St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2305
5110 Telegraph Ave| Oakland| CA 94609,94609,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2186
5239 Claremont Ave| Oakland| CA 94619,94619,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2390
6301 Shellmound St| Emeryville| CA 94608,94608,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2370
2315 College Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,979
3015 San Pablo Ave| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2768
2398 Bancroft Way| Berkeley| CA 94704,94704,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1200
1122 University Ave| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2545
1260-1290 Hopkins St| Berkeley| CA 94702,94702,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2195
1333 Powell St| Emeryville| CA 94608,94608,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2144
6401 Shellmound St| Emeryville| CA 94608,94608,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1792
2119 University Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2340
2539 Telegraph Ave| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2600
2461 Warring St| Berkeley| CA 94704,94704,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2500
2486-2490 Channing Way| Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,650
1951 Chestnut St| Berkeley| CA 94702,94702,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1795
1901 Dwight Way| Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2795
2013 2nd St| Berkeley| CA 94710,94710,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3295
2510 Channing Way| Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3295
1812 University Ave| Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1950
1910-1916 Oxford St| Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2379
2020 4th St| Berkeley| CA 94710,94710,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2174
3001 Telegraph Ave| Berkeley| CA 94705,94705,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1437
2709 Dwight Way| Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1554
6399 Christie Ave| Emeryville| CA 94608,94608,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2099
6350 Christie Ave| Emeryville| CA 94608,94608,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1858
1465 65th St| Emeryville| CA 94608,94608,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2148
Albany| CA 94706,94706,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3675
2311 Le Conte Ave| Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,979
409 Evelyn Ave| Albany| CA 94706,94706,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1900
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2050
Berkeley| CA 94702,94702,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2200
Berkeley| CA 94710,94710,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1988
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3850
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2500
Berkeley| CA 94702,94702,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1850
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2500
1801 University Ave| Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2800
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2450
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1988
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1500
Berkeley| CA 94709,94709,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5980
Berkeley| CA 94709,94709,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7250
2030 Blake St| Berkeley| CA 94704,94704,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4400
Berkeley| CA 94705,94705,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2000
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2550
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2000
2060 McGee Ave| Berkeley| CA 94703,94703,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4950
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2200
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1850
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2399
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2250
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2188
2606 Fulton St| Berkeley| CA 94704,94704,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11990
Berkeley| CA 94703,94703,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3595
Berkeley| CA 94704,94704,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5600
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1995
1521 Milvia St| Berkeley| CA 94709,94709,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3550
Berkeley| CA 94704,94704,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9800
Berkeley| CA 94702,94702,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4500
Berkeley| CA 94702,94702,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1980
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2995
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1775
Berkeley| CA 94709,94709,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2600
Berkeley| CA 94702,94702,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3500
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2900
Berkeley| CA 94703,94703,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3300
3219 King St| Berkeley| CA 94703,94703,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3550
Berkeley| CA 94710,94710,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2200
Oakland| CA 94608,94608,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2200
Oakland| CA 94618,94618,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2050
Oakland| CA 94609,94609,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2700
5204 Lawton Ave| Oakland| CA 94618,94618,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3800
6 Commodore Dr| Emeryville| CA 94608,94608,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2875
El Cerrito| CA 94530,94530,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1700
555 Pierce St| Albany| CA 94706,94706,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2850
1 Captain Dr| Emeryville| CA 94608,94608,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2300
Albany| CA 94706,94706,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2350
5234 Redondo Ave| Oakland| CA 94618,94618,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6000
1162 53rd St| Oakland| CA 94608,94608,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3200
Oakland| CA 94618,94618,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3100
Oakland| CA 94608,94608,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2700
Oakland| CA 94609,94609,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3600
Oakland| CA 94608,94608,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2950
Oakland| CA 94609,94609,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2199
Oakland| CA 94609,94609,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2000
1031 57th St| Oakland| CA 94608,94608,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2800
2708 Channing Way| Berkeley| CA 94704,94704,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15850
Berkeley| CA 94705,94705,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2250
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2298
1609 Bonita Ave| Berkeley| CA 94709,94709,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3100
2629 Piedmont Ave| Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2100
2629 Piedmont Ave| Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2380
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2150
Berkeley| CA 94706,94706,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2650
Berkeley| CA 94702,94702,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1395
Berkeley| CA 94702,94702,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1900
2800 Kelsey St| Berkeley| CA 94705,94705,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5600
2327 Browning St| Berkeley| CA 94702,94702,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2595
2623 Virginia St| Berkeley| CA 94709,94709,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6500
Berkeley| CA 94702,94702,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2900
2129 Stuart St| Berkeley| CA 94705,94705,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2450
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2500
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2000
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1700
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1050
Berkeley| CA 94709,94709,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2799
2747 San Pablo Ave| Berkeley| CA 94702,94702,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2995
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1900
1631 Julia St| Berkeley| CA 94703,94703,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4500
Berkeley| CA 94705,94705,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2200
1633 62nd St| Berkeley| CA 94703,94703,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8000
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2950
Berkeley| CA 94702,94702,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2850
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2750
Berkeley| CA 94705,94705,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1800
2029 Channing Way| Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2650
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2350
1805 Bonita Ave| Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2400
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2400
Berkeley| CA 94703,94703,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1795
Berkeley| CA 94710,94710,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2050
2952 Stanton St| Berkeley| CA 94702,94702,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2575
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3200
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1395
Berkeley| CA 94708,94708,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2799
Berkeley| CA 94709,94709,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3299
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2799
Berkeley| CA 94710,94710,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2000
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1895
3031 Fulton St| Berkeley| CA 94705,94705,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3000
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2650
Berkeley| CA 94710,94710,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2475
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2470
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2400
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1550
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1850
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2025
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2300
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1995
Berkeley| CA 94705,94705,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2350
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2450
Berkeley| CA 94702,94702,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1795
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2495
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1650
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1750
Berkeley| CA 94709,94709,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3550
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,995
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1975
Berkeley| CA 94709,94709,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2750
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2295
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2150
Berkeley| CA 94710,94710,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2380
Berkeley| CA 94709,94709,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2700
Berkeley| CA 94704,94704,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1000
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2400
Berkeley| CA 94703,94703,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2400
Berkeley| CA 94704,94704,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2795
